"Aadhar number,","Name,","Date of birth,","PAN,","SalaryEarned,","Allowances,","Self or Family pension,","Bank name,","Account number,","Bank Type,"
"731980489054,","Alonzo Stanley,","27327,","5ZX1POYCT2,","743097,","5021,","Self,","Keepsafe Family Bank,","97023564873,","public,"
"331948273384,","Nelson Robinson,","36003,","X45715H5M9,","494976,","3805,","Family,","Treasury Bank Financial,","83381323750,","public,"
"569682936634,","Sam Harris,","28487,","SOR6MC0W0T,","926451,","9220,","Family,","Silver Coin Banking,","26662900603,","private,"
"989365051746,","Cheryl Frazier,","33865,","W6W6W14HCE,","309948,","3864,","Self,","Rainy Days Banks,","93158508861,","private,"
"813444379213,","Judith Norton,","34793,","KBOQOS5LIW,","614744,","5590,","Self,","Piggy Bank Fiduciary,","41156971638,","public,"
"38895180404,","Tim Hansen,","26954,","LMNW2OO67G,","329444,","1251,","Family,","Financial Partner Bank,","45413314600,","private,"
"852494689274,","Desiree Briggs,","33137,","IRKSAN25XJ,","584970,","5133,","Self,","Elite Bank System,","93583059825,","public,"
"411825523666,","Freddie Smith,","35678,","H549KG19BK,","971975,","7226,","Family,","New Heights Financial,","14149661282,","private,"
"331168623472,","Greg Powers,","34272,","C8V4WR8C40,","840289,","7923,","Self,","Concorde Holdings Inc,","49520211815,","private,"
"184304198686,","Samuel Kennedy,","31499,","MMAJWIJSV4,","707653,","2850,","Family,","Value Financial Holdings,","59031819125,","public,"
